Region,Year,Enrollment
ALBANY,1976,120.0
ALBANY,1977,189.0
ALBANY,1978,171.0
ALBANY,1979,133.0
ALBANY,1980,116.0
ALBANY,1981,117.0
ALBANY,1982,111.0
ALBANY,1983,108.0
ALBANY,1984,139.0
ALBANY,1985,103.0
ALBANY,1986,130.0
ALBANY,1987,345.0
ALBANY,1988,360.0
ALBANY,1989,338.0
ALBANY,1990,417.0
ALBANY,1991,410.0
ALBANY,1992,613.0
ALBANY,1993,667.0
ALBANY,1994,671.0
ALBANY,1995,674.0
ALBANY,1996,678.0
ALBANY,1997,737.0
ALBANY,1998,726.0
ALBANY,1999,754.0
ALBANY,2000,1171.0
ALBANY,2001,1206.0
ALBANY,2002,1194.0
ALBANY,2003,1342.0
ALBANY,2004,1321.0
ALBANY,2005,1366.0
ALBANY,2006,1309.0
ALBANY,2007,1275.0
ALBANY,2008,1191.0
ALBANY,2009,2260.0
ALBANY,2010,2268.0
ALBANY,2011,2302.0
ALBANY,2012,2416.0
ALBANY,2013,2343.0
ALBANY,2014,2395.0
ALBANY,2015,2617.0
ALBANY,2016,2700.0
ALBANY,2017,2650.0
ALBANY,2018,2654.0
ALBANY,2019,2623.0
ALBANY,2020,2879.0
ALBANY,2021,3151.0
ALBANY,2022,3303.0
ALBANY,2023,3409.0
ALBANY,2024,3536.0
ALBANY,2025,3650.0
ALLEGANY,1976,822.0
ALLEGANY,1977,757.0
ALLEGANY,1978,754.0
ALLEGANY,1979,709.0
ALLEGANY,1980,745.0
ALLEGANY,1981,688.0
ALLEGANY,1982,735.0
ALLEGANY,1983,764.0
ALLEGANY,1984,703.0
ALLEGANY,1985,771.0
ALLEGANY,1986,742.0
ALLEGANY,1987,705.0
ALLEGANY,1988,708.0
ALLEGANY,1989,725.0
ALLEGANY,1990,707.0
ALLEGANY,1991,731.0
ALLEGANY,1992,749.0
ALLEGANY,1993,663.0
ALLEGANY,1994,705.0
ALLEGANY,1995,710.0
ALLEGANY,1996,664.0
ALLEGANY,1997,647.0
ALLEGANY,1998,604.0
ALLEGANY,1999,588.0
ALLEGANY,2000,537.0
ALLEGANY,2001,581.0
ALLEGANY,2002,566.0
ALLEGANY,2003,555.0
ALLEGANY,2004,523.0
ALLEGANY,2005,535.0
ALLEGANY,2006,540.0
ALLEGANY,2007,539.0
ALLEGANY,2008,575.0
ALLEGANY,2009,523.0
ALLEGANY,2010,531.0
ALLEGANY,2011,493.0
ALLEGANY,2012,470.0
ALLEGANY,2013,494.0
ALLEGANY,2014,489.0
ALLEGANY,2015,457.0
ALLEGANY,2016,457.0
ALLEGANY,2017,437.0
ALLEGANY,2018,412.0
ALLEGANY,2019,426.0
ALLEGANY,2020,423.0
ALLEGANY,2021,398.0
ALLEGANY,2022,394.0
ALLEGANY,2023,388.0
ALLEGANY,2024,368.0
ALLEGANY,2025,372.0
BRONX,1976,407.0
BRONX,1977,680.0
BRONX,1978,1918.0
BRONX,1979,1888.0
BRONX,1980,407.0
BRONX,1981,153.0
BRONX,1982,453.0
BRONX,1983,11449.0
BRONX,1984,12750.0
BRONX,1985,13131.0
BRONX,1986,13291.0
BRONX,1987,13609.0
BRONX,1988,13208.0
BRONX,1989,13332.0
BRONX,1990,13963.0
BRONX,1991,14337.0
BRONX,1992,15178.0
BRONX,1993,15465.0
BRONX,1994,16852.0
BRONX,1995,17326.0
BRONX,1996,17305.0
BRONX,1997,16661.0
BRONX,1998,16213.0
BRONX,1999,16001.0
BRONX,2000,15383.0
BRONX,2001,14582.0
BRONX,2002,14226.0
BRONX,2003,14408.0
BRONX,2004,13819.0
BRONX,2005,13854.0
BRONX,2006,13628.0
BRONX,2007,13289.0
BRONX,2008,13243.0
BRONX,2009,15139.0
BRONX,2010,15294.0
BRONX,2011,15861.0
BRONX,2012,15975.0
BRONX,2013,15937.0
BRONX,2014,16222.0
BRONX,2015,15843.0
BRONX,2016,14680.0
BRONX,2017,14305.0
BRONX,2018,13360.0
BRONX,2019,12560.0
BRONX,2020,12359.0
BRONX,2021,12563.0
