Region,Year,Enrollment
MONROE,1976,8510.0
MONROE,1977,7244.0
MONROE,1978,6793.0
MONROE,1979,6321.0
MONROE,1980,6024.0
MONROE,1981,5795.0
MONROE,1982,6250.0
MONROE,1983,5981.0
MONROE,1984,6476.0
MONROE,1985,6797.0
MONROE,1986,6944.0
MONROE,1987,6871.0
MONROE,1988,7027.0
MONROE,1989,7379.0
MONROE,1990,7649.0
MONROE,1991,7678.0
MONROE,1992,7203.0
MONROE,1993,7163.0
MONROE,1994,7319.0
MONROE,1995,7419.0
MONROE,1996,8014.0
MONROE,1997,7860.0
MONROE,1998,7579.0
MONROE,1999,6471.0
MONROE,2000,5461.0
MONROE,2001,3806.0
MONROE,2002,3740.0
MONROE,2003,3771.0
MONROE,2004,3305.0
MONROE,2005,3064.0
MONROE,2006,2938.0
MONROE,2007,2886.0
MONROE,2008,2718.0
MONROE,2009,2466.0
MONROE,2010,2531.0
MONROE,2011,2168.0
MONROE,2012,1572.0
MONROE,2013,1097.0
MONROE,2014,1062.0
MONROE,2015,1040.0
MONROE,2016,843.0
MONROE,2017,420.0
MONROE,2018,180.0
MONROE,2019,180.0
MONROE,2020,177.0
MONROE,2021,191.0
MONROE,2022,184.0
MONROE,2023,154.0
MONROE,2024,78.0
MONROE,2025,25.0
SARATOGA,1976,2120.0
SARATOGA,1977,1916.0
SARATOGA,1978,1668.0
SARATOGA,1979,1654.0
SARATOGA,1980,1636.0
SARATOGA,1981,1547.0
SARATOGA,1982,1605.0
SARATOGA,1983,1501.0
SARATOGA,1984,1503.0
SARATOGA,1985,1213.0
SARATOGA,1986,1061.0
SARATOGA,1987,1157.0
SARATOGA,1988,1040.0
SARATOGA,1989,1074.0
SARATOGA,1990,1674.0
SARATOGA,1991,1143.0
SARATOGA,1992,1157.0
SARATOGA,1993,1124.0
SARATOGA,1994,1179.0
SARATOGA,1995,1216.0
SARATOGA,1996,1131.0
SARATOGA,1997,1136.0
SARATOGA,1998,1068.0
SARATOGA,1999,1041.0
SARATOGA,2000,1001.0
SARATOGA,2001,1043.0
SARATOGA,2002,1016.0
SARATOGA,2003,1087.0
SARATOGA,2004,1060.0
SARATOGA,2005,1083.0
SARATOGA,2006,1078.0
SARATOGA,2007,1014.0
SARATOGA,2008,793.0
SARATOGA,2009,649.0
SARATOGA,2010,598.0
SARATOGA,2011,546.0
SARATOGA,2012,534.0
SARATOGA,2013,569.0
SARATOGA,2014,561.0
SARATOGA,2015,562.0
SARATOGA,2016,584.0
SARATOGA,2017,563.0
SARATOGA,2018,580.0
SARATOGA,2019,557.0
SARATOGA,2020,528.0
SARATOGA,2021,513.0
SARATOGA,2022,487.0
SARATOGA,2023,473.0
SARATOGA,2024,467.0
SARATOGA,2025,453.0
