Region,Year,Enrollment
ALBANY,2011,648.0
ALBANY,2012,717.0
ALBANY,2013,707.0
ALBANY,2014,851.0
ALBANY,2015,862.0
ALBANY,2016,1184.0
ALBANY,2017,1182.0
ALBANY,2018,1180.0
ALBANY,2019,1342.0
ALBANY,2020,1439.0
ALBANY,2021,1584.0
ALBANY,2022,1724.0
ALBANY,2023,1885.0
ALBANY,2024,2057.0
ALBANY,2025,2246.0
ALLEGANY,2011,31.0
ALLEGANY,2012,20.0
ALLEGANY,2013,37.0
ALLEGANY,2014,35.0
ALLEGANY,2015,42.0
ALLEGANY,2016,110.0
ALLEGANY,2017,135.0
ALLEGANY,2018,146.0
ALLEGANY,2019,178.0
ALLEGANY,2020,216.0
ALLEGANY,2021,262.0
ALLEGANY,2022,318.0
ALLEGANY,2023,386.0
ALLEGANY,2024,469.0
ALLEGANY,2025,569.0
BRONX,2011,3109.0
BRONX,2012,3121.0
BRONX,2013,4558.0
BRONX,2014,11755.0
BRONX,2015,14876.0
BRONX,2016,14529.0
BRONX,2017,14697.0
BRONX,2018,14876.0
BRONX,2019,15029.0
BRONX,2020,15169.0
BRONX,2021,15304.0
BRONX,2022,15437.0
BRONX,2023,15569.0
BRONX,2024,15702.0
BRONX,2025,15835.0
BROOME,2011,171.0
BROOME,2012,226.0
BROOME,2013,195.0
BROOME,2014,375.0
BROOME,2015,393.0
BROOME,2016,412.0
BROOME,2017,567.0
BROOME,2018,563.0
BROOME,2019,739.0
BROOME,2020,814.0
BROOME,2021,998.0
BROOME,2022,1145.0
BROOME,2023,1368.0
BROOME,2024,1594.0
BROOME,2025,1888.0
CATTARAUGUS,2011,140.0
CATTARAUGUS,2012,220.0
CATTARAUGUS,2013,228.0
CATTARAUGUS,2014,411.0
CATTARAUGUS,2015,434.0
CATTARAUGUS,2016,524.0
CATTARAUGUS,2017,572.0
CATTARAUGUS,2018,581.0
CATTARAUGUS,2019,681.0
CATTARAUGUS,2020,765.0
CATTARAUGUS,2021,870.0
CATTARAUGUS,2022,986.0
CATTARAUGUS,2023,1119.0
CATTARAUGUS,2024,1269.0
CATTARAUGUS,2025,1440.0
CAYUGA,2011,37.0
CAYUGA,2012,41.0
CAYUGA,2013,43.0
CAYUGA,2014,341.0
CAYUGA,2015,391.0
CAYUGA,2016,390.0
CAYUGA,2017,558.0
CAYUGA,2018,533.0
CAYUGA,2019,632.0
CAYUGA,2020,721.0
CAYUGA,2021,827.0
CAYUGA,2022,948.0
CAYUGA,2023,1088.0
CAYUGA,2024,1247.0
CAYUGA,2025,1430.0
CHAUTAUQUA,2011,224.0
CHAUTAUQUA,2012,148.0
CHAUTAUQUA,2013,179.0
CHAUTAUQUA,2014,362.0
CHAUTAUQUA,2015,497.0
CHAUTAUQUA,2016,574.0
CHAUTAUQUA,2017,576.0
CHAUTAUQUA,2018,636.0
CHAUTAUQUA,2019,702.0
CHAUTAUQUA,2020,775.0
CHAUTAUQUA,2021,856.0
CHAUTAUQUA,2022,945.0
CHAUTAUQUA,2023,1043.0
CHAUTAUQUA,2024,1151.0
CHAUTAUQUA,2025,1271.0
CHEMUNG,2011,370.0
CHEMUNG,2012,441.0
CHEMUNG,2013,425.0
CHEMUNG,2014,391.0
CHEMUNG,2015,432.0
CHEMUNG,2016,501.0
CHEMUNG,2017,493.0
