Region,Year,Enrollment
ALBANY,2011,283.0
ALBANY,2012,240.0
ALBANY,2013,246.0
ALBANY,2014,215.0
ALBANY,2015,239.0
ALBANY,2016,244.0
ALBANY,2017,254.0
ALBANY,2018,284.0
ALBANY,2019,277.0
ALBANY,2020,284.0
ALBANY,2021,287.0
ALBANY,2022,299.0
ALBANY,2023,310.0
ALBANY,2024,320.0
ALBANY,2025,333.0
ALLEGANY,2011,325.0
ALLEGANY,2012,332.0
ALLEGANY,2013,329.0
ALLEGANY,2014,303.0
ALLEGANY,2015,302.0
ALLEGANY,2016,225.0
ALLEGANY,2017,202.0
ALLEGANY,2018,183.0
ALLEGANY,2019,174.0
ALLEGANY,2020,159.0
ALLEGANY,2021,144.0
ALLEGANY,2022,128.0
ALLEGANY,2023,111.0
ALLEGANY,2024,101.0
ALLEGANY,2025,92.0
BRONX,2011,7645.0
BRONX,2012,7150.0
BRONX,2013,6022.0
BRONX,2014,1776.0
BRONX,2015,420.0
BRONX,2016,418.0
BRONX,2017,437.0
BRONX,2018,353.0
BRONX,2019,340.0
BRONX,2020,218.0
BRONX,2021,60.0
BRONX,2022,20.0
BRONX,2023,20.0
BRONX,2024,19.0
BRONX,2025,17.0
BROOME,2011,815.0
BROOME,2012,839.0
BROOME,2013,811.0
BROOME,2014,673.0
BROOME,2015,680.0
BROOME,2016,706.0
BROOME,2017,693.0
BROOME,2018,638.0
BROOME,2019,608.0
BROOME,2020,579.0
BROOME,2021,555.0
BROOME,2022,543.0
BROOME,2023,525.0
BROOME,2024,503.0
BROOME,2025,479.0
CATTARAUGUS,2011,522.0
CATTARAUGUS,2012,485.0
CATTARAUGUS,2013,482.0
CATTARAUGUS,2014,274.0
CATTARAUGUS,2015,269.0
CATTARAUGUS,2016,182.0
CATTARAUGUS,2017,108.0
CATTARAUGUS,2018,109.0
CATTARAUGUS,2019,90.0
CATTARAUGUS,2020,73.0
CATTARAUGUS,2021,52.0
CATTARAUGUS,2022,41.0
CATTARAUGUS,2023,30.0
CATTARAUGUS,2024,23.0
CATTARAUGUS,2025,20.0
CAYUGA,2011,382.0
CAYUGA,2012,397.0
CAYUGA,2013,413.0
CAYUGA,2014,166.0
CAYUGA,2015,115.0
CAYUGA,2016,110.0
CAYUGA,2017,129.0
CAYUGA,2018,126.0
CAYUGA,2019,123.0
CAYUGA,2020,92.0
CAYUGA,2021,54.0
CAYUGA,2022,45.0
CAYUGA,2023,44.0
CAYUGA,2024,43.0
CAYUGA,2025,40.0
CHAUTAUQUA,2011,686.0
CHAUTAUQUA,2012,762.0
CHAUTAUQUA,2013,708.0
CHAUTAUQUA,2014,633.0
CHAUTAUQUA,2015,474.0
CHAUTAUQUA,2016,484.0
CHAUTAUQUA,2017,563.0
CHAUTAUQUA,2018,570.0
CHAUTAUQUA,2019,430.0
CHAUTAUQUA,2020,374.0
CHAUTAUQUA,2021,412.0
CHAUTAUQUA,2022,471.0
CHAUTAUQUA,2023,412.0
CHAUTAUQUA,2024,322.0
CHAUTAUQUA,2025,299.0
CHEMUNG,2011,60.0
CHEMUNG,2012,60.0
CHEMUNG,2013,94.0
CHEMUNG,2014,85.0
CHEMUNG,2015,72.0
CHEMUNG,2016,32.0
CHEMUNG,2017,36.0
CHEMUNG,2018,33.0
CHEMUNG,2019,15.0
CHEMUNG,2020,12.0
CHEMUNG,2021,9.0
CHEMUNG,2022,10.0
CHEMUNG,2023,4.0
CHEMUNG,2024,2.0
CHEMUNG,2025,4.0
CHENANGO,2011,242.0
CHENANGO,2012,228.0
CHENANGO,2013,218.0
CHENANGO,2014,191.0
CHENANGO,2015,151.0
CHENANGO,2016,143.0
CHENANGO,2017,148.0
CHENANGO,2018,154.0
CHENANGO,2019,142.0
CHENANGO,2020,131.0
CHENANGO,2021,120.0
CHENANGO,2022,112.0
CHENANGO,2023,108.0
CHENANGO,2024,105.0
CHENANGO,2025,100.0
CLINTON,2011,83.0
CLINTON,2012,165.0
CLINTON,2013,184.0
CLINTON,2014,172.0
CLINTON,2015,138.0
CLINTON,2016,148.0
CLINTON,2017,114.0
CLINTON,2018,124.0
CLINTON,2019,92.0
CLINTON,2020,81.0
CLINTON,2021,67.0
CLINTON,2022,65.0
CLINTON,2023,51.0
CLINTON,2024,47.0
CLINTON,2025,33.0
COLUMBIA,2011,0.0
COLUMBIA,2012,63.0
COLUMBIA,2013,68.0
COLUMBIA,2014,59.0
COLUMBIA,2015,73.0
COLUMBIA,2016,70.0
COLUMBIA,2017,73.0
COLUMBIA,2018,43.0
COLUMBIA,2019,28.0
COLUMBIA,2020,23.0
COLUMBIA,2021,20.0
COLUMBIA,2022,14.0
COLUMBIA,2023,8.0
COLUMBIA,2024,1.0
COLUMBIA,2025,2.0
CORTLAND,2011,36.0
CORTLAND,2012,142.0
CORTLAND,2013,133.0
CORTLAND,2014,132.0
CORTLAND,2015,139.0
CORTLAND,2016,128.0
CORTLAND,2017,127.0
CORTLAND,2018,116.0
CORTLAND,2019,127.0
CORTLAND,2020,125.0
CORTLAND,2021,124.0
CORTLAND,2022,122.0
CORTLAND,2023,120.0
CORTLAND,2024,119.0
CORTLAND,2025,118.0
DELAWARE,2011,161.0
DELAWARE,2012,185.0
DELAWARE,2013,157.0
DELAWARE,2014,174.0
DELAWARE,2015,135.0
DELAWARE,2016,150.0
DELAWARE,2017,118.0
DELAWARE,2018,123.0
DELAWARE,2019,126.0
DELAWARE,2020,113.0
DELAWARE,2021,113.0
DELAWARE,2022,102.0
DELAWARE,2023,99.0
DELAWARE,2024,93.0
DELAWARE,2025,89.0
DUTCHESS,2011,338.0
DUTCHESS,2012,333.0
DUTCHESS,2013,336.0
DUTCHESS,2014,324.0
DUTCHESS,2015,338.0
DUTCHESS,2016,312.0
DUTCHESS,2017,309.0
DUTCHESS,2018,303.0
DUTCHESS,2019,297.0
DUTCHESS,2020,293.0
DUTCHESS,2021,287.0
DUTCHESS,2022,282.0
DUTCHESS,2023,275.0
DUTCHESS,2024,270.0
DUTCHESS,2025,265.0
ERIE,2011,1989.0
ERIE,2012,2858.0
ERIE,2013,2941.0
ERIE,2014,2910.0
ERIE,2015,2701.0
ERIE,2016,2702.0
ERIE,2017,2546.0
ERIE,2018,2546.0
ERIE,2019,2528.0
ERIE,2020,2470.0
ERIE,2021,2403.0
ERIE,2022,2351.0
ERIE,2023,2301.0
ERIE,2024,2259.0
ERIE,2025,2216.0
ESSEX,2011,40.0
ESSEX,2012,54.0
ESSEX,2013,59.0
ESSEX,2014,67.0
ESSEX,2015,47.0
ESSEX,2016,67.0
ESSEX,2017,40.0
ESSEX,2018,38.0
ESSEX,2019,34.0
ESSEX,2020,34.0
ESSEX,2021,30.0
ESSEX,2022,27.0
ESSEX,2023,24.0
ESSEX,2024,21.0
ESSEX,2025,19.0
FRANKLIN,2011,141.0
FRANKLIN,2012,159.0
FRANKLIN,2013,147.0
FRANKLIN,2014,145.0
FRANKLIN,2015,123.0
FRANKLIN,2016,108.0
FRANKLIN,2017,70.0
FRANKLIN,2018,58.0
FRANKLIN,2019,55.0
FRANKLIN,2020,49.0
FRANKLIN,2021,42.0
FRANKLIN,2022,35.0
FRANKLIN,2023,28.0
FRANKLIN,2024,23.0
FRANKLIN,2025,20.0
FULTON,2011,328.0
FULTON,2012,309.0
FULTON,2013,277.0
FULTON,2014,155.0
FULTON,2015,158.0
FULTON,2016,144.0
FULTON,2017,104.0
FULTON,2018,104.0
FULTON,2019,84.0
FULTON,2020,69.0
FULTON,2021,55.0
FULTON,2022,48.0
FULTON,2023,41.0
FULTON,2024,34.0
FULTON,2025,30.0
GENESEE,2011,332.0
GENESEE,2012,364.0
GENESEE,2013,367.0
GENESEE,2014,355.0
GENESEE,2015,278.0
GENESEE,2016,319.0
GENESEE,2017,295.0
GENESEE,2018,280.0
GENESEE,2019,282.0
GENESEE,2020,268.0
GENESEE,2021,255.0
GENESEE,2022,242.0
GENESEE,2023,239.0
GENESEE,2024,229.0
GENESEE,2025,221.0
GREENE,2011,78.0
GREENE,2012,76.0
GREENE,2013,104.0
GREENE,2014,129.0
GREENE,2015,111.0
GREENE,2016,99.0
GREENE,2017,90.0
