Region,Year,Enrollment
ALBANY,2011,648.0
ALBANY,2012,717.0
ALBANY,2013,707.0
ALBANY,2014,851.0
ALBANY,2015,862.0
ALBANY,2016,1184.0
ALBANY,2017,1182.0
ALBANY,2018,1180.0
ALBANY,2019,1155.0
ALBANY,2020,1253.0
ALBANY,2021,1309.0
ALBANY,2022,1438.0
ALBANY,2023,1519.0
ALBANY,2024,1607.0
ALBANY,2025,1663.0
ALLEGANY,2011,31.0
ALLEGANY,2012,20.0
ALLEGANY,2013,37.0
ALLEGANY,2014,35.0
ALLEGANY,2015,42.0
ALLEGANY,2016,110.0
ALLEGANY,2017,135.0
ALLEGANY,2018,146.0
ALLEGANY,2019,192.0
ALLEGANY,2020,240.0
ALLEGANY,2021,301.0
ALLEGANY,2022,385.0
ALLEGANY,2023,488.0
ALLEGANY,2024,615.0
ALLEGANY,2025,777.0
BRONX,2011,3109.0
BRONX,2012,3121.0
BRONX,2013,4558.0
BRONX,2014,11755.0
BRONX,2015,14876.0
BRONX,2016,14529.0
BRONX,2017,14697.0
BRONX,2018,14876.0
BRONX,2019,17466.0
BRONX,2020,19461.0
BRONX,2021,21170.0
BRONX,2022,22862.0
BRONX,2023,24835.0
BRONX,2024,27238.0
BRONX,2025,29792.0
BROOME,2011,171.0
BROOME,2012,226.0
BROOME,2013,195.0
BROOME,2014,375.0
BROOME,2015,393.0
BROOME,2016,412.0
BROOME,2017,567.0
BROOME,2018,563.0
BROOME,2019,543.0
BROOME,2020,627.0
BROOME,2021,719.0
BROOME,2022,741.0
BROOME,2023,818.0
BROOME,2024,918.0
BROOME,2025,986.0
CATTARAUGUS,2011,140.0
CATTARAUGUS,2012,220.0
CATTARAUGUS,2013,228.0
CATTARAUGUS,2014,411.0
CATTARAUGUS,2015,434.0
CATTARAUGUS,2016,524.0
CATTARAUGUS,2017,572.0
CATTARAUGUS,2018,581.0
CATTARAUGUS,2019,572.0
CATTARAUGUS,2020,628.0
CATTARAUGUS,2021,634.0
CATTARAUGUS,2022,657.0
CATTARAUGUS,2023,675.0
CATTARAUGUS,2024,708.0
CATTARAUGUS,2025,718.0
CAYUGA,2011,37.0
CAYUGA,2012,41.0
CAYUGA,2013,43.0
CAYUGA,2014,341.0
CAYUGA,2015,391.0
CAYUGA,2016,390.0
CAYUGA,2017,558.0
CAYUGA,2018,533.0
CAYUGA,2019,530.0
CAYUGA,2020,577.0
CAYUGA,2021,640.0
CAYUGA,2022,651.0
CAYUGA,2023,692.0
CAYUGA,2024,747.0
CAYUGA,2025,792.0
CHAUTAUQUA,2011,224.0
CHAUTAUQUA,2012,148.0
CHAUTAUQUA,2013,179.0
CHAUTAUQUA,2014,362.0
CHAUTAUQUA,2015,497.0
CHAUTAUQUA,2016,574.0
CHAUTAUQUA,2017,576.0
CHAUTAUQUA,2018,636.0
CHAUTAUQUA,2019,823.0
CHAUTAUQUA,2020,996.0
CHAUTAUQUA,2021,1129.0
CHAUTAUQUA,2022,1274.0
CHAUTAUQUA,2023,1486.0
CHAUTAUQUA,2024,1771.0
CHAUTAUQUA,2025,2079.0
CHEMUNG,2011,370.0
CHEMUNG,2012,441.0
CHEMUNG,2013,425.0
CHEMUNG,2014,391.0
CHEMUNG,2015,432.0
CHEMUNG,2016,501.0
CHEMUNG,2017,493.0
