,SCHOOL YEAR,COUNTY,PK,PK (HALF DAY),PK (FULL DAY),KG (HALF DAY),KG (FULL DAY),GRADE 1,GRADE 2,GRADE 3,GRADE 4,GRADE 5,GRADE 6,UNGRADED (ELEMENTARY),GRADE 7,GRADE 8,GRADE 9,GRADE 10,GRADE 11,GRADE 12,UNGRADED (SECONDARY),Year
0,1976-77,ALBANY,,,,2920,120,3433,3218,3088,3158,3187,3347,268,3522,3606,3939,3944,3728,3336,201,1976
1,1976-77,ALLEGANY,,,,38,822,871,838,727,771,795,840,8,908,982,967,936,810,895,4,1976
2,1976-77,BRONX,,,,11806,407,18243,17600,17043,16878,17123,17382,3184,18101,16809,20751,18221,13750,10450,3858,1976
3,1976-77,BROOME,,,,2624,429,3676,3109,3284,3325,3372,3496,240,3894,3947,4138,4133,3939,3505,143,1976
4,1976-77,CATTARAUGUS,,,,622,901,1666,1490,1443,1492,1515,1637,67,1681,1715,1845,1741,1608,1537,43,1976
5,1976-77,CAYUGA,,,,647,439,1299,1139,1026,1068,1096,1173,102,1358,1284,1522,1351,1333,1209,54,1976
6,1976-77,CHAUTAUQUA,,,,1507,726,2515,2200,2173,2211,2201,2472,253,2705,2672,2731,2686,2579,2438,93,1976
7,1976-77,CHEMUNG,,,,1091,265,1546,1422,1365,1379,1411,1492,116,1611,1573,1726,1686,1527,1550,44,1976
8,1976-77,CHENANGO,,,,101,800,993,968,934,889,877,1000,56,1124,1186,1117,1128,1022,947,28,1976
9,1976-77,CLINTON,,,,593,618,1317,1151,1147,1224,1310,1339,167,1660,1526,1687,1553,1419,1327,78,1976
10,1976-77,COLUMBIA,,,,737,64,902,873,800,873,888,960,71,1051,1136,1148,1079,889,851,45,1976
11,1976-77,CORTLAND,,,,470,224,871,765,690,662,726,714,1,850,915,886,891,760,694,0,1976
12,1976-77,DELAWARE,,,,235,606,883,828,767,805,798,915,44,981,974,1048,1001,880,896,42,1976
13,1976-77,DUTCHESS,,,,3032,443,3837,3634,3478,3576,3746,3872,400,4314,4244,4587,4299,4048,3565,291,1976
14,1976-77,ERIE,,,,10448,1635,13916,13359,12822,13061,14137,14505,1795,15623,15583,17415,17661,16809,15407,1436,1976
15,1976-77,ESSEX,,,,160,257,465,382,439,455,464,536,52,603,611,660,571,515,517,0,1976
16,1976-77,FRANKLIN,,,,561,217,824,753,795,766,827,878,17,1087,1031,1088,1005,966,859,46,1976
17,1976-77,FULTON,,,,649,347,966,901,873,930,1003,966,79,1021,1006,997,988,842,836,34,1976
18,1976-77,GENESEE,,,,518,487,1201,1001,1059,994,1047,1025,74,1187,1173,1161,1141,1074,1017,17,1976
19,1976-77,GREENE,,,,511,47,691,619,610,562,643,670,41,803,736,786,700,629,589,42,1976
20,1976-77,HAMILTON,,,,42,19,71,68,80,74,85,92,0,100,90,96,86,81,70,0,1976
21,1976-77,HERKIMER,,,,460,566,1100,1065,1019,980,1149,1133,29,1292,1205,1383,1294,1195,1139,41,1976
22,1976-77,JEFFERSON,,,,1386,58,1714,1512,1435,1384,1498,1607,39,1705,1682,1845,1726,1500,1394,48,1976
23,1976-77,KINGS,,,,19781,841,29962,28447,27977,27642,28198,28694,6513,29912,27018,37412,34447,27624,19336,4981,1976
24,1976-77,LEWIS,,,,191,255,456,424,432,448,472,478,8,514,529,594,571,552,515,17,1976
25,1976-77,LIVINGSTON,,,,545,224,927,820,800,786,865,838,82,1037,975,1004,991,948,907,77,1976
26,1976-77,MADISON,,,,574,593,1350,1167,1116,1163,1151,1278,180,1333,1321,1389,1311,1139,1139,52,1976
27,1976-77,MONROE,,,,8510,758,10791,10367,10114,10015,9752,10542,1196,11172,11074,11350,10969,9930,9360,1041,1976
28,1976-77,MONTGOMERY,,,,513,235,818,735,687,794,777,767,150,773,830,850,851,825,748,59,1976
29,1976-77,NASSAU,,,,14184,506,16328,16605,16315,17435,18757,19814,1836,21694,22438,24676,26326,25609,25629,1205,1976
30,1976-77,NEW YORK,,,,6393,950,11381,10650,10491,10431,10653,10765,3882,11855,10733,20014,24173,11948,8210,6211,1976
31,1976-77,NIAGARA,,,,2868,278,3672,3355,3179,3228,3362,3606,583,4008,4112,4494,4569,3956,3949,151,1976
32,1976-77,ONEIDA,,,,3550,150,4103,3923,3653,3788,3934,4227,346,4376,4482,4673,4502,4203,3927,239,1976
33,1976-77,ONONDAGA,,,,6277,86,7597,7062,6693,6798,6916,7323,604,7892,8036,8225,8415,7634,7105,372,1976
34,1976-77,ONTARIO,,,,1342,84,1675,1513,1429,1465,1509,1547,65,1704,1623,1825,1735,1527,1399,72,1976
35,1976-77,ORANGE,,,,3795,395,4506,4270,3989,4067,4117,4404,384,4760,4644,4948,4670,4055,3894,271,1976
36,1976-77,ORLEANS,,,,199,504,789,744,729,694,737,755,62,904,870,804,794,699,645,15,1976
37,1976-77,OSWEGO,,,,1433,635,2262,2039,2050,2048,2097,2163,98,2286,2410,2428,2267,1943,1846,78,1976
38,1976-77,OTSEGO,,,,334,416,834,776,781,752,793,830,34,959,932,979,912,871,842,43,1976
